[    3491ms] [LOG] 🚀 Transcription bridge starting... @ http://127.0.0.1:8000/public/script.js:35
[    3491ms] [LOG] 🚀 Transcription bridge initialized (Robust Mode). Watching for .transcription-signal... @ http://127.0.0.1:8000/public/script.js:76
[    3936ms] [WARNING] Skipped "*/*" because it is not a valid MIME type. Check https://developer.mozilla.org/en-US/docs/Web/HTTP/Basics_of_HTTP/MIME_types/Common_types for a list of valid MIME types. @ http://127.0.0.1:8000/assets/index-LFVFt-Wr.js:9207
[    3947ms] [WARNING] Skipped "*/*" because it is not a valid MIME type. Check https://developer.mozilla.org/en-US/docs/Web/HTTP/Basics_of_HTTP/MIME_types/Common_types for a list of valid MIME types. @ http://127.0.0.1:8000/assets/index-LFVFt-Wr.js:9207
[    4010ms] [WARNING] Skipped "*/*" because it is not a valid MIME type. Check https://developer.mozilla.org/en-US/docs/Web/HTTP/Basics_of_HTTP/MIME_types/Common_types for a list of valid MIME types. @ http://127.0.0.1:8000/assets/index-LFVFt-Wr.js:9207
[    4217ms] [WARNING] Skipped "*/*" because it is not a valid MIME type. Check https://developer.mozilla.org/en-US/docs/Web/HTTP/Basics_of_HTTP/MIME_types/Common_types for a list of valid MIME types. @ http://127.0.0.1:8000/assets/index-LFVFt-Wr.js:9207
[    4220ms] [WARNING] Skipped "*/*" because it is not a valid MIME type. Check https://developer.mozilla.org/en-US/docs/Web/HTTP/Basics_of_HTTP/MIME_types/Common_types for a list of valid MIME types. @ http://127.0.0.1:8000/assets/index-LFVFt-Wr.js:9207
[    4243ms] [WARNING] Skipped "*/*" because it is not a valid MIME type. Check https://developer.mozilla.org/en-US/docs/Web/HTTP/Basics_of_HTTP/MIME_types/Common_types for a list of valid MIME types. @ http://127.0.0.1:8000/assets/index-LFVFt-Wr.js:9207
[    4246ms] [WARNING] Skipped "*/*" because it is not a valid MIME type. Check https://developer.mozilla.org/en-US/docs/Web/HTTP/Basics_of_HTTP/MIME_types/Common_types for a list of valid MIME types. @ http://127.0.0.1:8000/assets/index-LFVFt-Wr.js:9207
[    4287ms] [WARNING] Skipped "*/*" because it is not a valid MIME type. Check https://developer.mozilla.org/en-US/docs/Web/HTTP/Basics_of_HTTP/MIME_types/Common_types for a list of valid MIME types. @ http://127.0.0.1:8000/assets/index-LFVFt-Wr.js:9207
[    4291ms] [WARNING] Skipped "*/*" because it is not a valid MIME type. Check https://developer.mozilla.org/en-US/docs/Web/HTTP/Basics_of_HTTP/MIME_types/Common_types for a list of valid MIME types. @ http://127.0.0.1:8000/assets/index-LFVFt-Wr.js:9207
